品番,img_file_Name,名前,存在チェック,ブランド名,チャネル,上代,年度,会期月,シーズン,ステップ,ワイヤー,タイプ,シーン1,シーン2,補整力,シルエット,着用感
DB125103,DB125103.jpg,ﾊｰﾄﾌﾙｶｯﾌﾟｶｼｭｸｰﾙﾌﾞﾗﾌﾟﾚｰﾝﾀｲﾌﾟ25,○,PEACE,テレビ・EC,"6,300",通年QVC,2025年4月,通年,0,なし,プチ~一般,見せない,日中,3,自然,中
DB125202,DB125202.jpg,細みえﾌﾛﾝﾄﾌｧｽﾅｰ綿混ﾌﾞﾗ25,×,PEACE,テレビ・EC,"6,300",通年QVC,2025年8月,通年,0,なし,一般,見せない,日中,3,自然,中
DB125203,DB125203.jpg,細みえｼﾝﾌﾟﾙﾌﾛﾝﾄﾌｧｽﾅｰ綿混ﾌﾞﾗ25,×,PEACE,テレビ・EC,"6,300",通年QVC,2025年8月,通年,0,なし,一般,見せない,日中,3,自然,中
DB524201,DB524201.jpg,ﾊｯﾋﾟｰﾊﾞｽﾄｱｯﾌﾟﾌﾞﾗｷｬﾐｿｰﾙ24,○,PEACE,テレビ・EC,"6,000",通年QVC,2024年6月,通年,0,なし,プチ~一般,見せない,日中,2,自然,弱
DB524203,DB524203.jpg,綿混楽々ﾊﾞｽﾄｷｰﾌﾟｷｬﾐ24,○,PEACE,テレビ・EC,"5,200",通年QVC,2024年7月,通年,0,なし,一般~グラマー,見せない,日中,2,自然,弱
DB525404,DB525404.jpg,綿混ｽﾄﾚｯﾁﾊｲﾌﾞﾘｯﾄﾞﾊｰﾄｶｯﾌﾟﾌﾞﾗｷｬﾐ25,○,PEACE,テレビ・EC,"7,300",通年QVC,2025年2月,通年,0,なし,プチ~一般,見せない,日中,3,自然,中
DB525101,DB525101.jpg,綿さらﾀｯﾁ!ﾅﾁｭﾗﾙﾌｨｯﾄﾌﾞﾗｷｬﾐ25,○,PEACE,テレビ・EC,"7,300",通年QVC,2025年3月,通年,0,なし,一般,見せない,日中,4,自然,中
DB525102,DB525102.jpg,ﾋﾞｭｰﾃｨﾌﾙﾚｰｽﾊｰﾄﾌﾙｶｯﾌﾟﾌﾞﾗｷｬﾐ25,○,PEACE,テレビ・EC,"7,400",通年QVC,2025年4月,通年,0,なし,プチ~一般,見せない,日中,3,自然,中
DB525103,DB525103.jpg,ｽﾑｰｽﾚｰｽﾊｰﾄﾌﾙｶｯﾌﾟﾌﾞﾗｷｬﾐ25,○,PEACE,テレビ・EC,"7,400",通年QVC,2025年4月,通年,0,なし,プチ~一般,見せない,日中,3,自然,中
DB525202,DB525202.jpg,ﾊｯﾋﾟｰﾊﾞｽﾄｱｯﾌﾟﾌﾞﾗｷｬﾐｿｰﾙ25,○,PEACE,テレビ・EC,"6,000",通年QVC,2025年6月,通年,0,なし,プチ~一般,見せない,日中,2,自然,弱
DB525204,DB525204.jpg,綿混楽々dailyﾌﾞﾗｷｬﾐ25,○,PEACE,テレビ・EC,"5,500",通年QVC,2025年7月,通年,0,なし,一般~グラマー,見せない,日中,2,自然,弱
DB525207,DB525207.jpg,細みえﾌﾛﾝﾄﾌｧｽﾅｰ綿混ﾌﾞﾗｷｬﾐ25,×,PEACE,テレビ・EC,"8,000",通年QVC,2025年8月,通年,0,なし,一般~グラマー,見せない,日中,3,自然,中
DB525301,DB525301.jpg,ｼｬｲﾆｰﾍﾞﾛｱﾌﾞﾗｷｬﾐ25,×,PEACE,テレビ・EC,"6,000",通年QVC,2025年10月,通年,0,なし,一般,見せる,日中,2,自然,弱
DB525406,DB525406.jpg,綿混ｷｬｯﾁｬｰｶｯﾌﾟﾚｰｽﾌﾞﾗｷｬﾐ25,×,PEACE,テレビ・EC,"6,800",通年QVC,2025年12月,通年,0,なし,一般~グラマー,見せない,日中,4,自然,中
DB525104,DB525104.jpg,ｱｸｾﾝﾄﾚｰｽﾊｰﾄﾌﾙｶｯﾌﾟﾌﾞﾗｷｬﾐ,×,PEACE,EC,"5,000",通年QVC,2025年5月,通年,0,なし,プチ~一般,見せない,日中,3,自然,中
DB12417,DB12417.jpg,2026年2月TPﾌﾞﾗ,×,PEACE,テレビ・EC,"5,800",通年QVC,2026年2月,通年,0,なし,グラマー,見せない,日中,4,自然,中
DB12422,DB12422.jpg,2026年4月TSVﾌﾞﾗ,×,PEACE,テレビ・EC,"6,300",通年QVC,2026年4月,通年,0,なし,一般,見せない,日中,3,自然,中
DB12424,DB12424.jpg,2026年4月TSVﾌﾞﾗｷｬﾐ,×,PEACE,テレビ・EC,"7,400",通年QVC,2026年4月,通年,0,なし,一般,見せない,日中,3,自然,中
DB12420,DB12420.jpg,2026年5月TPﾌﾞﾗｷｬﾐ,×,PEACE,テレビ・EC,"7,400",通年QVC,2026年5月,通年,0,なし,グラマー,見せない,日中,4,自然,中
YH124201,YH124201.jpg,ゆきねえﾓｱｿﾌﾄ快適ﾎｰﾙﾄﾞﾌﾞﾗ24,○,Yukine. Inc.,テレビ・EC,"3,900",24AW,2024年7月,通年,なし,なし,一般~グラマー,見せない,日中,2,自然,弱
YH524101,YH524101.jpg,ゆきねえﾓｱｿﾌﾄ快適ﾊﾞｽﾄﾎｰﾙﾄﾞｼｪｲﾌﾟﾌﾞﾗｷｬﾐ24,○,Yukine. Inc.,テレビ・EC,"5,200",24AW,2024年5月,通年,なし,なし,一般~グラマー,見せない,日中,2,自然,弱
YH124301,YH124301.jpg,ゆきねえ365綿混ﾓｱらく快適ﾌﾙｶｯﾌﾟﾌﾞﾗ24,○,Yukine. Inc.,テレビ・EC,"3,800",24AW,2024年9月,通年,なし,なし,一般~グラマー,見せない,日中,2,自然,弱
YH524301,YH524301.jpg,ゆきねえ365綿混ﾓｱらく快適ﾌﾙｶｯﾌﾟﾌﾞﾗｷｬﾐ24,○,Yukine. Inc.,テレビ・EC,"4,600",24AW,2024年9月,通年,なし,なし,一般~グラマー,見せない,日中,2,自然,弱
YH525401,YH525401.jpg,ゆきねえとろりｿﾌﾄｼﾙｸ混ﾌﾞﾗｷｬﾐ25,○,Yukine. Inc.,テレビ・EC,"5,200",25SS,2025年1月,通年,なし,なし,一般~グラマー,見せない,日中,2,自然,弱
YH125401,YH125401.jpg,ゆきねえとろりｿﾌﾄｼﾙｸ混ﾌﾞﾗ25,○,Yukine. Inc.,テレビ・EC,"4,600",25SS,2025年1月,通年,なし,なし,一般~グラマー,見せない,日中,2,自然,弱
YH525101,YH525101.jpg,ゆきねえﾓｱｿﾌﾄ快適ﾌﾙｶｯﾌﾟﾌﾞﾗｷｬﾐ25,○,Yukine. Inc.,テレビ・EC,"5,200",25SS,2025年5月,通年,なし,なし,一般~グラマー,見せない,日中,2,自然,弱
YH125201,YH125201.jpg,ゆきねえとろりｿﾌﾄｼﾙｸ混ﾗｲﾄﾌﾞﾗ25,○,Yukine. Inc.,テレビ・EC,"4,600",25SS,2025年7月,通年,なし,なし,一般~グラマー,見せない,日中,2,自然,弱
YH525301,YH525301.jpg,ゆきねえ365綿混ﾓｱらく快適ﾌﾙｶｯﾌﾟﾌﾞﾗｷｬﾐ25,×,Yukine. Inc.,テレビ・EC,"5,200",25SS,2025年10月,通年,なし,なし,一般~グラマー,見せない,日中,2,自然,弱
YH09501,YH09501.jpg,2025年5月TPﾌﾞﾗ,×,Yukine. Inc.,テレビ・EC,"4,600",25SS,2025年5月,通年,なし,なし,一般~グラマー,見せない,日中,2,自然,弱
ME118307,ME118307.jpg,BRADELISHUGME Bralette,○,Me,EC,"4,700",定番,通年,通年,0,なし,プチ~一般,見せない,日中,3,高さ/自然,中
