品番,名前,ブランド名,チャネル,上代,年度,会期月,シーズン,ステップ,ワイヤー,タイプ,シーン1,シーン2,補整力,シルエット,着用感,商品ランク,売上規模,Rep,cluster,medoid_score,tsne_x,tsne_y,24-Oct,24-Nov,24-Dec,25-Jan,25-Feb,25-Mar,25-Apr,25-May,25-Jun,25-Jul,25-Aug,25-Sep,総計,初速3か月（月割）,初速3か月（平均）
MG523101,軽やかﾌｨｰﾙ快適ﾌﾞﾗｷｬﾐ,MAGIC,EC,"5,400",定番,2023年7月,通年,0,なし,一般,見せる,日中,2,自然,弱,A,◎,1,2,1.4142135623730951,0.2898136,0.38364705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG525401,やわらかブラタンクトップ,MAGIC,EC,"5,600",定番,2025年12月予定,通年,0,なし,一般,見せない,日中,2,自然,弱,A,.,0,1,1.2093499038878768,0.40357244,0.5434912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG525402,やわらかウォームブラインナー,MAGIC,EC,"6,300",定番,2025年12月予定,冬,0,なし,一般,見せない,日中,2,自然,弱,A,.,0,1,1.860786712665806,0.30211622,0.52561414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG525403,ベロアタッチリブブラタンクトップ,MAGIC,EC,"5,800",定番,2025年12月予定,冬,0,なし,一般,見せる,日中,2,自然,弱,A,.,0,2,1.4142135623730951,0.16258231,0.8956158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG525404,ベロアタッチリブブラワンピース,MAGIC,EC,"7,000",定番,2025年12月予定,冬,0,なし,一般,見せる,日中,2,自然,弱,A,.,0,2,1.4142135623730951,0.16258231,0.8956158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YH09501,2025年5月TPﾌﾞﾗ,Yukine. Inc.,テレビ・EC,"4,600",2025SS,2025年5月,通年,なし,なし,一般~グラマー,見せない,日中,2,自然,弱,B,.,0,4,0,0.13629964,0.6621652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YH124201,ゆきねえﾓｱｿﾌﾄ快適ﾎｰﾙﾄﾞﾌﾞﾗ24,Yukine. Inc.,テレビ・EC,"3,900",2024AW,2024年7月,通年,なし,なし,一般~グラマー,見せない,日中,2,自然,弱,C,.,0,4,0,0.13629964,0.6621652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YH124301,ゆきねえ365綿混ﾓｱらく快適ﾌﾙｶｯﾌﾟﾌﾞﾗ24,Yukine. Inc.,テレビ・EC,"3,800",2024AW,2024年9月,通年,なし,なし,一般~グラマー,見せない,日中,2,自然,弱,C,.,0,4,0,0.13629964,0.6621652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YH125201,ゆきねえとろりｿﾌﾄｼﾙｸ混ﾗｲﾄﾌﾞﾗ25,Yukine. Inc.,テレビ・EC,"4,600",2025SS,2025年7月,通年,なし,なし,一般~グラマー,見せない,日中,2,自然,弱,B,.,0,4,0,0.13629964,0.6621652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YH125401,ゆきねえとろりｿﾌﾄｼﾙｸ混ﾌﾞﾗ25,Yukine. Inc.,テレビ・EC,"4,600",2025SS,2025年1月,通年,なし,なし,一般~グラマー,見せない,日中,2,自然,弱,B,.,0,4,0,0.13629964,0.6621652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
