ブランド名,チャネル,品番,名前,写真,上代,年度,会期月,シーズン,ステップ,ワイヤー,タイプ,シーン,シーン,補整力,シルエット,着用感,商品ランク,売上規模,cluster,medoid_score,tsne_x,tsne_y,Rep,24-Oct,24-Nov,24-Dec,25-Jan,25-Feb,25-Mar,25-Apr,25-May,25-Jun,25-Jul,25-Aug,25-Sep,総計,初速3か月（月割）,初速3か月（平均）
Me,店舗・EC,ME125303,ﾌﾞﾗﾃﾞﾘｽ ﾌﾚﾝﾄﾞﾘｰﾎｰﾙﾄﾞﾌﾞﾗ,-,"5,000",定番,通年,通年,0,なし,一般~グラマー,見せない,all,2,自然,弱,A,〇,6,0,0.4498415,0.15842128,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Me,店舗・EC,ME126101,ﾌﾞﾗﾃﾞﾘｽ Dreamy Night Bra,-,"6,000",2026SS,2026年2月,通年,0,なし,プチ,見せない,就寝,2,自然,弱,B,,6,2.178548872,0.42436504,0.32933933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Me,店舗・EC,ME126103,ﾌﾞﾗﾃﾞﾘｽ Lovely Back Bra26S1,-,"6,300",2026SS,2026年3月,夏,0,なし,プチ~一般,見せる,日中,2,自然,中,B,,8,1.414213562,0.041401505,0.4560601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Me,店舗・EC,ME126104,ﾌﾞﾗﾃﾞﾘｽ Lacy Cool Bra26S1,-,"6,000",2026SS,2026年3月,夏,0,なし,一般~グラマー,見せる,日中,2,自然,弱,B,,8,1.437757548,0.07395804,0.61867344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Me,店舗・EC,ME518306,BRADELISHUGME Bra Camisole,画像,"5,400",定番,通年,通年,0,なし,プチ~一般,見せない,日中,3,高さ/自然,中,A,,1,0,0.7486353,0.66465133,0,92,82,79,89,53,74,133,131,120,121,0,0,974,253,84
Me,店舗・EC,ME522301,ﾌﾞﾗﾃﾞﾘｽ ｵｰﾙｲﾝﾜﾝﾌﾞﾗｷｬﾐ,画像,"5,800",定番,通年,通年,0,なし,一般~グラマー,見せない,all,4,高さ/自然,中,A,,4,1.455806316,0.9618423,0.8899535,0,454,482,608,393,350,375,306,330,373,344,286,330,4631,"1,544",514
Me,店舗・EC,ME524301,ﾌﾞﾗﾃﾞﾘｽ Perfumyﾚｰｼｨﾌﾞﾗｷｬﾐ24A1,画像,"6,300",2024AW,2024年7月,夏,0,なし,一般~グラマー,見せない,日中,4,高さ/自然,中,C,,4,1.613790848,0.7954618,0.8934133,0,139,113,104,70,70,90,191,200,262,194,155,82,1670,356,118
Me,店舗・EC,ME524302,ﾌﾞﾗﾃﾞﾘｽ Perfumyﾌﾞﾗｷｬﾐ24A1,画像,"6,000",2024AW,2024年9月,通年,0,なし,一般,見せない,日中,4,高さ/自然,強,C,,1,1.93160924,0.8603884,0.72659236,0,248,266,178,170,127,233,10,1,22,33,0,0,1288,692,230
Me,店舗・EC,ME525101,ﾌﾞﾗﾃﾞﾘｽ ｺﾝﾌｫｰﾄﾌﾞﾗﾄｯﾌﾟ,画像,"5,600",定番,通年,夏,0,なし,一般,見せる,日中,2,自然,弱,A,◎,8,0.604629508,0.11681461,0.5119815,1,0,0,0,0,0,639,"1,067","1,203",783,484,867,280,5323,"2,909",969
Me,店舗・EC,ME525301,ﾌﾞﾗﾃﾞﾘｽ LiftMeUpﾌﾞﾗｷｬﾐ,画像,"6,000",定番,通年,夏,0,なし,プチ~一般,見せない,日中,3,高さ/自然,中,A,,1,1.506182946,0.77499896,0.76769906,0,0,0,0,0,0,0,0,0,0,224,177,138,539,539,179
