品番,店舗展開,写真,名前,cluster,medoid_score,tsne_x,tsne_y,ブランド名,チャネル,上代,年度,会期月,シーズン,ステップ,ワイヤー,タイプ,シーン1,シーン2,補整力,シルエット,Shop_初速3か月（月割）,Shop_初速3か月（平均）,EC_初速3か月（月割）,EC_初速3か月（平均）,Shop&EC_初速3か月（月割）,Sho&EC_初速3か月（平均）,top10
ME524301,1.0,ME524301.jpg,ﾌﾞﾗﾃﾞﾘｽ Perfumyﾚｰｼｨﾌﾞﾗｷｬﾐ24A1,1,0.0,0.8829798,0.8925184,Me,店舗・EC,"6,300",2024AW,2024年7月,夏,0,なし,一般~グラマー,見せない,日中,4,高さ/自然,356.0,118.0,109.0,36.0,465.0,154.0,0
ME524302,1.0,ME524302.jpg,ﾌﾞﾗﾃﾞﾘｽ Perfumyﾌﾞﾗｷｬﾐ24A1,1,0.016541419,0.8080033,0.8284661,Me,店舗・EC,"6,000",2024AW,2024年9月,通年,0,なし,一般,見せない,日中,4,高さ/自然,692.0,230.0,480.0,160.0,1172.0,390.0,0
ME525101,1.0,ME525101.jpg,ﾌﾞﾗﾃﾞﾘｽ ｺﾝﾌｫｰﾄﾌﾞﾗﾄｯﾌﾟ,2,0.000302461,0.8733947,0.3332137,Me,店舗・EC,"5,600",定番,通年,夏,0,なし,一般,見せる,日中,2,自然,2909.0,969.0,1511.0,503.0,4420.0,1472.0,1
ME525301,1.0,ME525301.jpg,ﾌﾞﾗﾃﾞﾘｽ LiftMeUpﾌﾞﾗｷｬﾐ,4,0.011748019,0.35600942,0.77540207,Me,店舗・EC,"6,000",定番,通年,夏,0,なし,プチ~一般,見せない,日中,3,高さ/自然,539.0,179.0,423.0,141.0,962.0,320.0,0
ME525303,1.0,ME525303.jpg,ﾌﾞﾗﾃﾞﾘｽ Perfumyﾌﾟﾗｽﾌﾞﾗｷｬﾐ25A1,1,0.018857346,0.85102236,0.6963878,Me,店舗・EC,"6,300",2025AW,2025年10月,通年,0,なし,一般,見せない,日中,4,高さ/自然,0.0,0.0,0.0,0.0,0.0,0.0,0
ME525304,1.0,ME525304.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾍﾞﾛｱﾌﾞﾗｷｬﾐ,2,0.00186772,0.8751333,0.0838114,Me,店舗・EC,"6,500",2025AW,2025年9月,冬,0,なし,一般,見せる,日中,2,自然,52.0,52.0,25.0,25.0,77.0,77.0,0
ME525305,1.0,ME525305.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾃﾞｲﾘｰｺﾝﾌｫｰﾄﾌﾞﾗﾄｯﾌﾟ,2,0.000109882,0.78226274,0.11924046,Me,店舗・EC,"5,600",定番,通年,夏,0,なし,一般,見せる,日中,2,自然,261.0,261.0,0.0,0.0,0.0,0.0,0
ME526101,1.0,ME526101.jpg,ﾌﾞﾗﾃﾞﾘｽ Lacy Tube Top,2,0.0,0.8792303,0.21192443,Me,店舗・EC,"6,300",2026SS,2026年3月,夏,0,なし,一般,見せる,日中,2,自然,0.0,0.0,0.0,0.0,0.0,0.0,0
MG02503,,MG02503.jpg,リブブラタンクトップ,2,0.0,0.8792303,0.21192443,MAGIC,EC,"5,400",定番,2026年2月予定,夏,0,なし,一般,見せる,日中,2,自然,,,0.0,0.0,0.0,0.0,0
MG07501,,MG07501.jpg,Newイージーナイト,4,0.039001781,0.36870968,0.44422805,MAGIC,EC,"5,000",定番,2026年3月予定,通年,0,なし,プチ~一般,見せない,就寝,1,自然,,,0.0,0.0,0.0,0.0,0
MG07502,,MG07502.jpg,ひんやりブラキャミ,2,9.313225746154783e-10,0.8792303,0.21192443,MAGIC,EC,"5,400",定番,2026年4月予定,夏,0,なし,一般,見せる,日中,2,自然,,,0.0,0.0,0.0,0.0,0
MG07504,,MG07504.jpg,ミニマイザー,0,0.002221297,0.23757893,0.0,MAGIC,EC,"6,300",定番,2026年3月予定,通年,0,なし,グラマー,見せない,日中,2,自然,,,0.0,0.0,0.0,0.0,0
MG07505,,MG07505.jpg,Aラインブラトップ,2,0.0,0.8792303,0.21192443,MAGIC,EC,"5,600",定番,2026年3月予定,夏,0,なし,一般,見せる,日中,2,自然,,,0.0,0.0,0.0,0.0,0
MG122201,,MG122201.jpg,ｼｰﾑﾚｽﾊｰﾄｶｯﾌﾟﾌﾞﾗ,1,0.024065023,0.78718007,0.750621,MAGIC,EC,"4,800",定番,2022年,通年,0,なし,一般~グラマー,見せない,日中,3,高さ/自然,,,283.0,94.0,0.0,0.0,0
MG124301,,MG124301.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾃﾞｲﾘｰﾅｲﾄﾌﾞﾗ,4,0.029610803,0.27830017,0.5024618,MAGIC,EC,"6,300",定番,2024年9月,通年,0,なし,プチ~一般,見せない,all,2,自然,,,930.0,310.0,961.0,341.0,0
MG125201,,MG125201.jpg,ﾌﾛｰﾗﾙﾌｨｯﾄﾉﾝﾜｲﾔｰﾌﾞﾗ,4,0.026682689,0.6283029,0.6678262,MAGIC,EC,"6,300",2025SS,2025年7月,通年,0,なし,一般,見せない,日中,3,高さ/自然,,,1071.0,357.0,0.0,0.0,0
MG125301,,MG125301.jpg,ﾌﾞﾗﾃﾞﾘｽ ｼｰﾑﾚｽｽｷﾝﾌﾞﾗ,1,0.021709835,0.72968173,0.84050155,MAGIC,EC,"6,800",定番,2025年10月予定,通年,0,なし,一般~グラマー,見せない,日中,3,高さ/自然,,,0.0,0.0,0.0,0.0,0
MG523101,,MG523101.jpg,軽やかﾌｨｰﾙ快適ﾌﾞﾗｷｬﾐ,2,0.009581977,0.95664907,0.30738056,MAGIC,EC,"5,400",定番,2023年7月,通年,0,なし,一般,見せる,日中,2,自然,,,1884.0,628.0,0.0,0.0,1
MG525401,,MG525401.jpg,やわらかブラタンクトップ,0,0.040956172,0.35982323,0.30004036,MAGIC,EC,"5,600",定番,2025年12月予定,通年,0,なし,一般,見せない,日中,2,自然,,,0.0,0.0,0.0,0.0,0
MG525402,,MG525402.jpg,やわらかウォームブラインナー,2,0.001729672,0.76687974,0.20669663,MAGIC,EC,"6,300",定番,2025年12月予定,冬,0,なし,一般,見せない,日中,2,自然,,,0.0,0.0,0.0,0.0,0
MG525403,,MG525403.jpg,ベロアタッチリブブラタンクトップ,2,0.00186772,0.8751333,0.0838114,MAGIC,EC,"5,800",定番,2025年12月予定,冬,0,なし,一般,見せる,日中,2,自然,,,0.0,0.0,0.0,0.0,0
MG525404,,MG525404.jpg,ベロアタッチリブブラワンピース,2,0.00186772,0.8751333,0.0838114,MAGIC,EC,"7,000",定番,2025年12月予定,冬,0,なし,一般,見せる,日中,2,自然,,,0.0,0.0,0.0,0.0,0
YH09501,,YH09501.jpg,2025年5月TPﾌﾞﾗ,0,0.002536245,0.26772684,0.11558342,Yukine. Inc.,テレビ・EC,"4,600",2025SS,2025年5月,通年,なし,なし,一般~グラマー,見せない,日中,2,自然,,,0.0,0.0,0.0,0.0,0
YH124201,,YH124201.jpg,ゆきねえﾓｱｿﾌﾄ快適ﾎｰﾙﾄﾞﾌﾞﾗ24,0,0.002536245,0.26772684,0.11558342,Yukine. Inc.,テレビ・EC,"3,900",2024AW,2024年7月,通年,なし,なし,一般~グラマー,見せない,日中,2,自然,,,219.0,73.0,0.0,0.0,0
YH124301,,YH124301.jpg,ゆきねえ365綿混ﾓｱらく快適ﾌﾙｶｯﾌﾟﾌﾞﾗ24,0,0.002644723,0.18080968,0.07982123,Yukine. Inc.,テレビ・EC,"3,800",2024AW,2024年9月,通年,なし,なし,一般~グラマー,見せない,日中,2,自然,,,290.0,96.0,0.0,0.0,0
YH125201,,YH125201.jpg,ゆきねえとろりｿﾌﾄｼﾙｸ混ﾗｲﾄﾌﾞﾗ25,0,0.001627615,0.43632686,0.063893795,Yukine. Inc.,テレビ・EC,"4,600",2025SS,2025年7月,通年,なし,なし,一般~グラマー,見せない,日中,2,自然,,,441.0,147.0,0.0,0.0,0
YH125401,,YH125401.jpg,ゆきねえとろりｿﾌﾄｼﾙｸ混ﾌﾞﾗ25,0,0.0,0.33760297,0.02692163,Yukine. Inc.,テレビ・EC,"4,600",2025SS,2025年1月,通年,なし,なし,一般~グラマー,見せない,日中,2,自然,,,248.0,82.0,0.0,0.0,0
YH524101,,YH524101.jpg,ゆきねえﾓｱｿﾌﾄ快適ﾊﾞｽﾄﾎｰﾙﾄﾞｼｪｲﾌﾟﾌﾞﾗｷｬﾐ24,0,0.002874524,0.37271625,0.14914328,Yukine. Inc.,テレビ・EC,"5,200",2024AW,2024年5月,通年,なし,なし,一般~グラマー,見せない,日中,2,自然,,,794.0,264.0,804.0,267.0,0
YH524301,,YH524301.jpg,ゆきねえ365綿混ﾓｱらく快適ﾌﾙｶｯﾌﾟﾌﾞﾗｷｬﾐ24,0,0.002874524,0.37271625,0.14914328,Yukine. Inc.,テレビ・EC,"4,600",2024AW,2024年9月,通年,なし,なし,一般~グラマー,見せない,日中,2,自然,,,616.0,205.0,0.0,0.0,0
YH525101,,YH525101.jpg,ゆきねえﾓｱｿﾌﾄ快適ﾌﾙｶｯﾌﾟﾌﾞﾗｷｬﾐ25,0,0.0,0.33760297,0.02692163,Yukine. Inc.,テレビ・EC,"5,200",2025SS,2025年5月,通年,なし,なし,一般~グラマー,見せない,日中,2,自然,,,1523.0,507.0,0.0,0.0,1
